number,state,title,type,component
259,CLOSED,P0: Replace Orchestrator dispatch_parallel / fan_out Thread worker pool with TaskGroup,(unclassified),(unclassified)
258,CLOSED,P0: Replace ParallelToolChat per-tool Thread.new with TaskGroup,(unclassified),(unclassified)
257,CLOSED,P0: Replace AgentFSM Thread.new with scheduler task; delegate only LLM calls to BlockingAdapterPool,(unclassified),(unclassified)
256,CLOSED,"P0: Introduce BlockingAdapterPool to isolate blocking I/O behind a bounded, observable thread pool",(unclassified),(unclassified)
255,CLOSED,P0: Introduce Runtime / Scheduler / Task / AsyncQueue / CancellationScope abstractions,(unclassified),(unclassified)
254,CLOSED,test: add fault injection spec for on_chunk streaming callback raising mid-stream,(unclassified),(unclassified)
253,CLOSED,ci: enforce that @api private methods are not exposed as public Ruby methods,(unclassified),(unclassified)
252,CLOSED,test: add trace_pii redaction coverage for tool call args and results,(unclassified),(unclassified)
251,CLOSED,test: add thread-leak detection spec after EventLoop session timeout,(unclassified),(unclassified)
250,CLOSED,feat: design and implement durable checkpoint/persistence for WorkflowContext via StateStore abstraction,(unclassified),(unclassified)
249,CLOSED,docs: add SECURITY.md (vulnerability disclosure policy) and GitHub PR template,(unclassified),(unclassified)
248,CLOSED,"test: systematize security regression tests — guardrail gating, MCP trust boundary, PII in tool args",(unclassified),(unclassified)
247,CLOSED,"test: expand nightly benchmark regression to agent streaming, context assembly, and cancellation hot path",(unclassified),(unclassified)
246,CLOSED,"test: expand nightly mutation testing to context, guardrail, tracing, eval, and cancellation modules",(unclassified),(unclassified)
245,CLOSED,chore: audit and enforce @api public/@api private annotation coverage with CI lint gate,(unclassified),(unclassified)
244,CLOSED,test: add lifecycle invariant tests for resource cleanup after timeout and reset_runtime! shutdown,(unclassified),(unclassified)
243,CLOSED,"test: add remaining fault injection surfaces (nil chunk, before_completion invalid result, EventLoop shutdown, approval handler exception)",(unclassified),(unclassified)
242,CLOSED,"feat: propagate CancellationToken into KnowledgeSource, Embeddings, VectorStore, and Tool#execute",(unclassified),(unclassified)
241,CLOSED,"test: expand fault injection to embeddings, VectorStore, result_writer, child FSM, streaming callbacks",(unclassified),(unclassified)
240,CLOSED,test: apply a_vector_store contract shared examples to RedisSearch and Pgvector backends,(unclassified),(unclassified)
239,CLOSED,ci: add nightly MCP HTTP/stdio fake server integration tests (blocked by #155/#160),(unclassified),(unclassified)
238,CLOSED,"ci: add nightly real backend integration tests (Redis Stack, pgvector, OpenTelemetry)",(unclassified),(unclassified)
237,CLOSED,docs: document cooperative vs preemptive cancellation semantics in README,(unclassified),(unclassified)
236,CLOSED,ci: add public API compatibility snapshot test for Stable-tagged constants,(unclassified),(unclassified)
235,CLOSED,feat: make Thread#kill opt-in (force_kill: false default) in Orchestrator and EventLoop,(unclassified),(unclassified)
234,CLOSED,feat: propagate cancellation_token into tool execute context; add CancellationToken#raise_if_cancelled!,(unclassified),(unclassified)
233,CLOSED,"feat: EventLoop shutdown — queue drain, child cancellation policy, configurable grace period",(unclassified),(unclassified)
232,CLOSED,ci: add nightly benchmark regression baseline comparison,(unclassified),(unclassified)
231,CLOSED,"test: expand contract tests to all pluggable interfaces (KnowledgeSource, Embeddings, Tracing, OutputParser, Tool)",(unclassified),(unclassified)
230,CLOSED,"test: expand fault injection coverage (tracer, RAG, tools, guardrails, child agents, cancellation in-flight)",(unclassified),(unclassified)
229,CLOSED,ci: add nightly real backend integration tests for Redis/pgvector,(unclassified),(unclassified)
228,CLOSED,ci: add public API compatibility snapshot to prevent accidental breaking changes,(unclassified),(unclassified)
227,CLOSED,ci: add nightly mutation testing workflow for core domain files,(unclassified),(unclassified)
226,CLOSED,ci: add mandatory coverage gate (COVERAGE=1) to CI workflow,(unclassified),(unclassified)
225,CLOSED,feat: add CancellationToken.timeout_after with monotonic clock deadline,(unclassified),(unclassified)
224,CLOSED,refactor: replace Orchestrator internal stop flag with CancellationToken; reduce Thread#kill to last resort,(unclassified),(unclassified)
223,CLOSED,"feat: propagate CancellationToken to RAG, tool execution, streaming, and child agents",(unclassified),(unclassified)
222,CLOSED,"test: add mutation testing (mutant) for core domain: WorkflowContext, Tool::Base, workflow transitions",(unclassified),(unclassified)
221,CLOSED,docs: create RELEASE_CHECKLIST.md formalizing pre-release quality gates and security review steps,(unclassified),(unclassified)
220,CLOSED,"docs: create Architecture Decision Records for key design choices (EventLoop singleton, invoke_timeout, static_knowledge, etc.)",(unclassified),(unclassified)
219,CLOSED,"test: add performance regression benchmarks for context assembly, RAG, and workflow dispatch",(unclassified),(unclassified)
218,CLOSED,"ci: add nightly real-backend integration tests (Redis, pgvector, OpenTelemetry) and optional dependency absence tests",(unclassified),(unclassified)
217,CLOSED,"test: add property-based tests for WorkflowContext, Tool schema validation, and Workflow graph",(unclassified),(unclassified)
216,CLOSED,"feat: introduce CancellationToken for cooperative cancellation across agent, tool, and transport layers",(unclassified),(unclassified)
215,CLOSED,feat: define and enforce lifecycle invariants for AgentFSM and EventLoop state transitions,(unclassified),(unclassified)
214,CLOSED,"test: add security specs for trace_pii redaction, approval-required tool gate, and rejected approval",(unclassified),(unclassified)
213,CLOSED,"test: add systematic fault injection specs (LLM timeout, tool failure, tracer raise, hook failure)",(unclassified),(unclassified)
212,CLOSED,"test: add contract tests (shared examples) for VectorStore, Embeddings, KnowledgeSource, Tracer, and Tool interfaces",(unclassified),(unclassified)
211,CLOSED,ci: run README runnable code blocks with fake RubyLLM to detect API drift,(unclassified),(unclassified)
210,CLOSED,ci: add public API method signature compatibility snapshot check,(unclassified),(unclassified)
209,CLOSED,refactor: replace `Time.now` with monotonic clock in timeout-sensitive paths,(unclassified),(unclassified)
208,CLOSED,"test: add race / concurrency specs for dispatch_parallel, InMemory#search, and context cache",(unclassified),(unclassified)
207,CLOSED,test: add SimpleCov with branch coverage threshold,(unclassified),(unclassified)
206,CLOSED,feat: add `Phronomy.with_configuration` / `reset_runtime!` for shared-state isolation in tests and concurrent use,(unclassified),(unclassified)
205,CLOSED,doc: annotate all internal-only classes and methods with `@api private` and add YARD CI check,(unclassified),(unclassified)
204,CLOSED,"fix: error taxonomy classes (RateLimitError, AuthenticationError, ContextLengthError) are defined but never raised — add RubyLLM error translation layer",(unclassified),(unclassified)
203,CLOSED,fix: replace `Thread#kill` with graceful cancellation in Orchestrator and EventLoop,(unclassified),(unclassified)
202,CLOSED,doc: README Security section lacks Tool/MCP side-effect boundary and trust guidance,(unclassified),(unclassified)
201,CLOSED,"doc: README Quick Start `WebSearch#execute` has no return value, making the example non-runnable",(unclassified),(unclassified)
200,CLOSED,doc: README Parallel Node example uses unbounded thread join without a complete production-safe alternative,(unclassified),(unclassified)
199,CLOSED,doc: README Context Management overstates automatic token limit enforcement,(unclassified),(unclassified)
198,CLOSED,doc: README Security section has `trace_pii` default backwards,(unclassified),(unclassified)
197,CLOSED,doc: README incorrectly states `thread_id` is used for context-cache keying,(unclassified),(unclassified)
196,CLOSED,doc: README RAG example uses wrong `store.add` API signature,(unclassified),(unclassified)
195,CLOSED,docs: README missing Security & Privacy section,(unclassified),(unclassified)
194,CLOSED,"docs: README Guardrails section missing limitations — no built-in guardrails, no prompt injection detection",(unclassified),(unclassified)
193,CLOSED,"docs: WorkflowContext#merge YARD ""Immutably updates"" is imprecise given best-effort deep copy semantics",(unclassified),(unclassified)
192,CLOSED,docs: README missing RubyLLM setup instructions and optional dependency list,(unclassified),(unclassified)
191,CLOSED,"docs: Workflow.define YARD ""hard errors"" is ambiguous — should enumerate which conditions raise ArgumentError",(unclassified),(unclassified)
190,CLOSED,docs: static_knowledge YARD describes per-instance cache and fingerprint auto-invalidation — both are incorrect,(unclassified),(unclassified)
189,CLOSED,"docs: CHANGELOG class name inconsistencies — JSONParser vs JsonParser, PgvectorStore vs VectorStore::Pgvector",(unclassified),(unclassified)
188,CLOSED,docs: WorkflowContext#field YARD missing @raise for Array/Hash default value,(unclassified),(unclassified)
187,CLOSED,"docs: CHANGELOG static_knowledge described as ""invalidated when knowledge source changes"" — no such auto-detection exists",(unclassified),(unclassified)
186,CLOSED,docs: CHANGELOG WorkflowContext.field mutable default rejection described too broadly,(unclassified),(unclassified)
185,CLOSED,"docs: CHANGELOG WorkflowContext#initialize entry mentions merge fix, duplicating the separate #154 entry",(unclassified),(unclassified)
183,CLOSED,docs: CHANGELOG expanded error taxonomy does not clarify which paths actually raise each error class,(unclassified),(unclassified)
184,CLOSED,docs: CHANGELOG [Unreleased] section should use Keep a Changelog categories (Added/Changed/Deprecated/Fixed),(unclassified),(unclassified)
182,CLOSED,"docs: CHANGELOG CancellationError description associates it with invoke_timeout, contradicting YARD wait-timeout documentation",(unclassified),(unclassified)
181,CLOSED,"docs: README Stable label, 0.x semver policy, and main vs released gem surface need clarification",(unclassified),(unclassified)
180,CLOSED,docs: README thread_id semantics unclear — users may expect message persistence,(unclassified),(unclassified)
179,CLOSED,docs: README missing :child_failed transition example for run_as_child pattern,(unclassified),(unclassified)
178,CLOSED,docs: README static_knowledge_refresh! example is placed in invocation-time context where it has no effect,(unclassified),(unclassified)
177,CLOSED,docs: README Parallel Node timeout example is misleading — Thread#join timeout does not prevent Thread#value from blocking,(unclassified),(unclassified)
176,CLOSED,"docs: README missing invoke_timeout, max_parallel_tools (Agent DSL) and timeout: (Orchestrator) options",(unclassified),(unclassified)
175,CLOSED,docs: README Quick Start examples are not executable — undefined classes and stub methods,(unclassified),(unclassified)
174,CLOSED,docs: README Guardrail section does not explain fail! exception type and agent loop behaviour,(unclassified),(unclassified)
173,CLOSED,docs: README RAG example omits document loading/embedding step — store is empty at retrieval time,(unclassified),(unclassified)
172,CLOSED,"docs: CHANGELOG trace_pii ""past behaviour"" description may be inaccurate",(unclassified),(unclassified)
170,CLOSED,"docs: CHANGELOG states max_parallel_tools default is ""unlimited"" but implementation default is 10",(unclassified),(unclassified)
171,CLOSED,docs: CHANGELOG Workflow validation description incorrectly implies unreachable states raise ArgumentError,(unclassified),(unclassified)
169,CLOSED,docs: README trace_pii configuration example shows `true` but default is `false`,(unclassified),(unclassified)
167,CLOSED,"docs: README before_completion hook result described as ""deep-merged"" but implementation is shallow merge",(unclassified),(unclassified)
168,CLOSED,"docs: Configuration#trace_pii YARD says ""When true (default)"" but default is false",(unclassified),(unclassified)
165,CLOSED,"enhancement: on_error :return_empty is misnamed — it returns a descriptive string, not an empty value",(unclassified),(unclassified)
166,CLOSED,bug: Tool nested object validation allows extra (undeclared) keys,(unclassified),(unclassified)
164,CLOSED,enhancement: add static_knowledge_refresh! to invalidate class-level knowledge cache,(unclassified),(unclassified)
163,CLOSED,"docs: clarify that invoke_timeout is a wait timeout, not cancellation — background agent continues running",(unclassified),(unclassified)
162,CLOSED,bug: Tool nested object properties not included in JSON Schema exposed to LLM,(unclassified),(unclassified)
161,CLOSED,docs: document that context_version_cache is not thread-safe when the same instance is shared,(unclassified),(unclassified)
160,CLOSED,docs/bug: StdioTransport env empty string does not unset the variable — comment is misleading,(unclassified),(unclassified)
159,CLOSED,"maintenance: add explicit require ""set"" to workflow.rb",(unclassified),(unclassified)
158,CLOSED,enhancement: route unreachable-state warning through logger instead of warn/$stderr,(unclassified),(unclassified)
156,CLOSED,bug: WorkflowContext#deep_dup_value raises TypeError for non-duplicable objects (e.g. Proc),(unclassified),(unclassified)
157,CLOSED,bug: Workflow graph validation does not detect undefined from: states in transitions,(unclassified),(unclassified)
155,CLOSED,bug: StdioTransport startup_timeout uses ungetbyte incorrectly — first line is consumed and lost,(unclassified),(unclassified)
154,CLOSED,bug: WorkflowContext#merge silently ignores unknown field keys,(unclassified),(unclassified)
153,CLOSED,docs: README trace_pii description is incorrect — both input and output are redacted when false,(unclassified),(unclassified)
152,CLOSED,bug: max_parallel_tools and invoke_timeout DSL accept invalid values without validation,(unclassified),(unclassified)
150,CLOSED,improvement: Phronomy.reset_configuration! is unsafe for parallel test suites and long-lived processes — needs documentation and guardrails,(unclassified),(unclassified)
149,CLOSED,"enhancement: error taxonomy is too flat — timeout, cancellation, rate-limit, and transport errors cannot be distinguished by rescue",(unclassified),(unclassified)
148,CLOSED,bug: README parallel node example writes to a shared Hash from multiple threads — unsafe concurrent write pattern,(unclassified),(unclassified)
147,CLOSED,improvement: on_error :return_empty return value is ambiguous and errors are silently swallowed without logging,(unclassified),(unclassified)
146,CLOSED,improvement: OutputParser JSON extraction only tries the first code fence — fails on no-fence responses and multi-block outputs,(unclassified),(unclassified)
145,CLOSED,"enhancement: MCP StdioTransport does not support cwd, env overrides, or startup timeout for the server subprocess",(unclassified),(unclassified)
144,CLOSED,enhancement: MCP HTTP transport does not support authentication headers — cannot connect to auth-protected MCP servers,(unclassified),(unclassified)
143,CLOSED,improvement: gemspec runtime dependencies have no upper version bound — major version bumps of dependencies may break silently,(unclassified),(unclassified)
142,CLOSED,improvement: CI matrix does not include ruby head — compatibility issues with upcoming Ruby versions discovered late,(unclassified),(unclassified)
141,CLOSED,improvement: README code examples are only syntax-checked in CI — runtime correctness is not verified,(unclassified),(unclassified)
140,CLOSED,"documentation: README stability levels (Stable/Beta/Experimental) lack definitions — ""production-ready"" may be misleading with current open issues",(unclassified),(unclassified)
139,CLOSED,bug: PgvectorStore metadata parsing breaks on NULL rows and already-parsed Hash columns,(unclassified),(unclassified)
